Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
262,601,375,17,0,69.86,3,lbw,2,,v Pakistan,Multan,07-Oct-24,Test # 2553
34,69,54,2,0,62.96,4,bowled,2,,v Pakistan,Multan,15-Oct-24,Test # 2554
18,42,34,1,0,52.94,4,lbw,4,,v Pakistan,Multan,15-Oct-24,Test # 2554
5,9,6,0,0,83.33,4,lbw,1,,v Pakistan,Rawalpindi,24-Oct-24,Test # 2558
33,80,52,1,0,63.46,4,caught,3,,v Pakistan,Rawalpindi,24-Oct-24,Test # 2558
0,5,4,0,0,0,4,bowled,2,,v New Zealand,Christchurch,28-Nov-24,Test # 2564
23*,25,15,3,1,153.33,4,not out,4,,v New Zealand,Christchurch,28-Nov-24,Test # 2564
3,13,7,0,0,42.85,4,caught,1,,v New Zealand,Wellington,06-Dec-24,Test # 2567
106,208,130,11,0,81.53,4,caught,3,,v New Zealand,Wellington,06-Dec-24,Test # 2567
32,57,42,6,0,76.19,4,caught,2,,v New Zealand,Hamilton,14-Dec-24,Test # 2569
